id__short	id	family	given	other_family_names	other_given_names	label	gender	birth	death	role_label	group_label	group_id	group_class	parl_period_start	parl_period_end	party	party_ids
778	http://ldf.fi/semparl/people/p778	Essayah	Sari		Sari Miriam	Essayah, Sari (1967-)	Female	1967-01-01		2. varapuheenjohtaja	Kristillisdemokraattinen eduskuntaryhmä (2003-2007)	http://ldf.fi/semparl/groups/g2900125318297471452	http://ldf.fi/semparl/groups/pg22	2003-03-20	2004-10-06	KD	http://ldf.fi/semparl/groups/Q1138982
778	http://ldf.fi/semparl/people/p778	Essayah	Sari		Sari Miriam	Essayah, Sari (1967-)	Female	1967-01-01		puheenjohtaja	Kristillisdemokraattinen eduskuntaryhmä (2003-2007)	http://ldf.fi/semparl/groups/g2900125318297471452	http://ldf.fi/semparl/groups/pg22	2004-10-07	2007-03-20	KD	http://ldf.fi/semparl/groups/Q1138982
778	http://ldf.fi/semparl/people/p778	Essayah	Sari		Sari Miriam	Essayah, Sari (1967-)	Female	1967-01-01		jäsen	Kristillisdemokraattinen eduskuntaryhmä (2019-2023)	http://ldf.fi/semparl/groups/g4008800494068981973	http://ldf.fi/semparl/groups/pg22	2015-04-22		KD	http://ldf.fi/semparl/groups/Q1138982
778	http://ldf.fi/semparl/people/p778	Essayah	Sari		Sari Miriam	Essayah, Sari (1967-)	Female	1967-01-01		1. varapuheenjohtaja	Kristillisdemokraattinen eduskuntaryhmä (2015-2019)	http://ldf.fi/semparl/groups/g2192487391728683076	http://ldf.fi/semparl/groups/pg22	2015-04-23	2015-09-16	KD	http://ldf.fi/semparl/groups/Q1138982
910353	http://ldf.fi/semparl/people/p910353	Estlander	Ernst		Ernst Henrik	Estlander, Ernst (1870-1949)	Male	1870-01-01	1949-12-31	jäsen	Ruotsalainen eduskuntaryhmä (1911-1914)	http://ldf.fi/semparl/groups/g8899837672983454797	http://ldf.fi/semparl/groups/pg5	1907-05-22	1914-02-01	RKP	http://ldf.fi/semparl/groups/Q845537
910353	http://ldf.fi/semparl/people/p910353	Estlander	Ernst		Ernst Henrik	Estlander, Ernst (1870-1949)	Male	1870-01-01	1949-12-31	jäsen	Ruotsalainen eduskuntaryhmä (1939-1945)	http://ldf.fi/semparl/groups/g2092487509664864396	http://ldf.fi/semparl/groups/pg5	1917-04-04	1945-04-05	RKP	http://ldf.fi/semparl/groups/Q845537
910353	http://ldf.fi/semparl/people/p910353	Estlander	Ernst		Ernst Henrik	Estlander, Ernst (1870-1949)	Male	1870-01-01	1949-12-31	pj	Ruotsalainen eduskuntaryhmä (aika ei tiedossa)	http://ldf.fi/semparl/groups/g9910915119668229758	http://ldf.fi/semparl/groups/pg5			RKP	http://ldf.fi/semparl/groups/Q845537
910354	http://ldf.fi/semparl/people/p910354	Etelämäki	Juho			Etelämäki, Juho (1863-1943)	Male	1863-01-01	1943-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1909-1910)	http://ldf.fi/semparl/groups/g1456398722153620144	http://ldf.fi/semparl/groups/pg1	1909-06-01	1914-02-01	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1951-1954)	http://ldf.fi/semparl/groups/g1660936898631202760	http://ldf.fi/semparl/groups/pg1	1930-10-21	1966-04-04	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	sosiaaliministeri	Cajanderin III hallitus	http://ldf.fi/semparl/groups/Cajander_III	http://ldf.fi/schema/semparl/Government	1937-11-09	1939-11-30	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	sosiaaliministeri	Rytin hallitus	http://ldf.fi/semparl/groups/Ryti	http://ldf.fi/schema/semparl/Government	1939-12-01	1940-03-26	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	sosiaaliministeri	Rytin II hallitus	http://ldf.fi/semparl/groups/Ryti_II	http://ldf.fi/schema/semparl/Government	1940-03-27	1941-01-03	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	sosiaaliministeri	Rangellin hallitus	http://ldf.fi/semparl/groups/Rangell	http://ldf.fi/schema/semparl/Government	1941-01-04	1943-03-04	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	sosiaaliministeri	Linkomiehen hallitus	http://ldf.fi/semparl/groups/Linkomies	http://ldf.fi/schema/semparl/Government	1943-03-05	1943-12-17	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	sosiaaliministeri	Castren U.:n hallitus	http://ldf.fi/semparl/groups/Castren_U	http://ldf.fi/schema/semparl/Government	1944-09-21	1944-11-16	SDP	http://ldf.fi/semparl/groups/Q499029
910355	http://ldf.fi/semparl/people/p910355	Fagerholm	Karl-August		K-A.	Fagerholm, Karl-August (1901-1984)	Male	1901-01-01	1984-12-31	puhemies	Puhemiehistö (1939-1945)	http://ldf.fi/semparl/groups/g1946006427938085210	http://ldf.fi/semparl/groups/committees/pmt01	1945-01-01	1947-12-31		
